key_resp.corr,key_resp.rt,,,,seqRT,randRT,,,,,,,,,,
1,1.7190895,,,,1.7190895,0.7062286,,,,,,,,,,
1,0.6099462,,,,0.6099462,0.8165882,,,,,,,,,,
1,0.6626731,,,,0.6626731,0.5894714,,,,,,,,,,
1,0.4975219,,,,0.4975219,0.9222272,,,,,,,,,,
1,0.9454103,,,,0.9454103,0.4886775,,,,,,,,,,
1,0.4959518,,,,0.4959518,0.454141,,,,,,,,,,
1,0.7159775,,,,0.7159775,0.3583197,,,,,,,,,,
1,1.2658419,,,,1.2658419,0.5570228,,,,,,,,,,
1,0.5911783,,,,0.5911783,0.3398109,,,,,,,,,,
1,0.3557164,,,,0.3557164,0.3209754,,,,,,,,,,
1,0.6543721,,,,0.6543721,1.0111948,,,,,,,,,,
1,0.5824851,,,,0.5824851,0.4109321,,,,,,,,,,
1,0.5236359,,,,0.5236359,0.3544994,,,,,,,,,,
1,0.6209227,,,,0.6209227,0.4090831,,,,,,,,,,
1,0.8103731,,,,0.8103731,0.3275797,,,,,,,,,,
1,0.3804766,,,,0.3804766,0.5182878,,,,,,,,,,
1,0.4363856,,,,0.4363856,0.4258508,,,,,,,,,,
1,0.3880787,,,,0.3880787,0.7762518,,,,,,,,Column1,SEQRT,RANRT
1,0.5819713,,,,0.5819713,0.3244498,,,seqRT,ranRT,,,,bin 1,0.575575356,0.5271212
1,1.2499084,,,,1.2499084,0.665212,,,0.52197432,0.530132788,,,,bin 2,0.621014736,0.516143932
1,0.4946485,,,,0.4946485,0.8006357,,,,,,,,bin 3,0.464358824,0.503094016
1,0.3565646,,,,0.3565646,0.6392018,,,,,,,,bin 4,0.430007014,0.564764254
1,0.7327188,,,,0.7327188,0.5647225,,,,,,,,,,
1,0.5547438,,,,0.5547438,0.4921854,,,,,,,,,,
1,0.4596342,,,,0.4596342,0.5076347,,,,,,,,,,
1,0.3731858,,,,0.3731858,0.575597,,,,,,,,,,
1,0.4652442,,,,0.4652442,0.4221224,,,,,,,,,,
1,0.4391987,,,,0.4391987,0.7195763,,,,,,,,,,
1,0.3842059,,,,0.3842059,0.5605254,,,,,,,,,,
1,0.4498622,,,,0.4498622,0.4992551,,,,,,,,,,
1,0.5443435,,,,0.5443435,0.3958582,,,,,,,,,,
1,0.4953142,,,,0.4953142,0.634562,,,,,,,,,,
1,0.4861819,,,,0.4861819,0.4384244,,,,,,,,,,
1,0.3463794,,,,0.3463794,0.7642062,,,,,,,,,,
1,0.4360034,,,,0.4360034,0.7902841,,,,,,,,,,
1,0.4260243,,,,0.4260243,0.6260489,,,,,,,,,,
1,0.5675069,,,,0.5675069,0.4326619,,,,,,,,,,
1,0.6086831,,,,0.6086831,0.4387536,,,,,,,,,,
1,0.6575461,,,,0.6575461,0.4690774,,,,,,,,,,
1,0.4354528,,,,0.4354528,0.3182314,,,,,,,,,,
1,0.5411604,,,,0.5411604,0.4526188,,,,,,,,,,
1,0.4958728,,,,0.4958728,0.3772467,,,,,,,,,,
1,0.5572916,,,,0.5572916,0.4497588,,,,,,,,,,
1,0.5102996,,,,0.5102996,0.4056644,,,,,,,,,,
1,0.647477,,,,0.647477,0.413266,,,,,,,,,,
1,0.5770591,,,,0.5770591,0.658866,,,,,,,,,,
1,0.3991947,,,,0.3991947,0.6266645,,,,,,,,,,
1,0.3895411,,,,0.3895411,0.4830587,,,,,,,,,,
1,0.4646958,,,,0.4646958,0.8050216,,,,,,,,,,
1,0.394817,,,,0.394817,0.4177371,,,,,,,,,,
1,0.4201735,,,,0.4201735,0.6093318,,,,,,,,,,
1,0.4661512,,,,0.4661512,0.5627941,,,,,,,,,,
1,0.6132939,,,,0.6132939,0.5574236,,,,,,,,,,
1,0.5414164,,,,0.5414164,0.608577,,,,,,,,,,
1,0.5219152,,,,0.5219152,0.7216185,,,,,,,,,,
1,0.658027,,,,0.658027,0.5089222,,,,,,,,,,
1,0.5513506,,,,0.5513506,0.5220023,,,,,,,,,,
1,0.5490469,,,,0.5490469,0.7275789,,,,,,,,,,
1,0.6239662,,,,0.6239662,0.4653285,,,,,,,,,,
1,0.5714312,,,,0.5714312,0.4937262,,,,,,,,,,
1,0.5676765,,,,0.5676765,0.409316,,,,,,,,,,
1,0.5790967,,,,0.5790967,0.482827,,,,,,,,,,
1,0.5660466,,,,0.5660466,0.5645412,,,,,,,,,,
1,0.3803267,,,,0.3803267,0.5730214,,,,,,,,,,
1,0.5665284,,,,0.5665284,0.4248203,,,,,,,,,,
1,1.6964866,,,,1.6964866,0.5408517,,,,,,,,,,
1,0.5609157,,,,0.5609157,0.5768512,,,,,,,,,,
1,0.4696577,,,,0.4696577,0.4519945,,,,,,,,,,
1,0.5660178,,,,0.5660178,0.6506132,,,,,,,,,,
1,0.5301293,,,,0.5301293,0.3844115,,,,,,,,,,
1,0.4767361,,,,0.4767361,0.6440742,,,,,,,,,,
1,1.1257901,,,,1.1257901,0.7430082,,,,,,,,,,
1,0.4393167,,,,0.4393167,0.3943542,,,,,,,,,,
1,0.5646036,,,,0.5646036,0.4351402,,,,,,,,,,
1,0.4771992,,,,0.4771992,0.4736513,,,,,,,,,,
1,0.540159,,,,0.540159,0.4363808,,,,,,,,,,
1,0.6345163,,,,0.6345163,0.4820591,,,,,,,,,,
1,0.6089202,,,,0.6089202,0.4938037,,,,,,,,,,
1,0.4971381,,,,0.4971381,0.4532422,,,,,,,,,,
1,0.4771599,,,,0.4771599,0.4330744,,,,,,,,,,
1,1.3607045,,,,1.3607045,0.4384774,,,,,,,,,,
1,1.1380804,,,,1.1380804,0.5192487,,,,,,,,,,
1,0.5776224,,,,0.5776224,0.3817838,,,,,,,,,,
1,0.6689159,,,,0.6689159,0.4976651,,,,,,,,,,
1,0.4618871,,,,0.4618871,0.4080037,,,,,,,,,,
1,0.4802591,,,,0.4802591,0.5162825,,,,,,,,,,
1,0.5173808,,,,0.5173808,0.3600596,,,,,,,,,,
1,1.5185964,,,,1.5185964,0.408398,,,,,,,,,,
1,0.6365399,,,,0.6365399,0.5804116,,,,,,,,,,
1,0.432129,,,,0.432129,0.3630973,,,,,,,,,,
1,0.7483691,,,,0.7483691,0.4980389,,,,,,,,,,
1,0.3596248,,,,0.3596248,0.611812,,,,,,,,,,
1,0.4823173,,,,0.4823173,0.6453657,,,,,,,,,,
0,0.1808194,,,,0.1808194,0.6196855,,,,,,,,,,
1,0.5335666,,,,0.5335666,0.5558784,,,,,,,,,,
1,0.4175628,,,,0.4175628,0.4595896,,,,,,,,,,
1,0.8967571,,,,0.8967571,0.5990062,,,,,,,,,,
1,0.3983606,,,,0.3983606,0.4340721,,,,,,,,,,
1,0.9262615,,,,0.9262615,0.4184109,,,,,,,,,,
1,0.4737888,,,,0.4737888,0.5448742,,,,,,,,,,
1,0.3659883,,,,0.3659883,0.3326754,,,,,,,,,,
1,0.3355373,,,,0.3355373,0.4691265,,,,,,,,,,
1,0.290973,,,,0.290973,0.4159954,,,,,,,,,,
1,0.4461025,,,,0.4461025,0.7043005,,,,,,,,,,
1,0.6993657,,,,0.6993657,0.5681951,,,,,,,,,,
1,0.3259273,,,,0.3259273,0.4353522,,,,,,,,,,
1,0.3787688,,,,0.3787688,0.4813595,,,,,,,,,,
1,0.5942086,,,,0.5942086,0.4182409,,,,,,,,,,
1,0.3852576,,,,0.3852576,0.51577,,,,,,,,,,
1,0.3823308,,,,0.3823308,0.4244899,,,,,,,,,,
1,0.4136054,,,,0.4136054,0.4052492,,,,,,,,,,
1,0.5264437,,,,0.5264437,0.4850494,,,,,,,,,,
1,0.438323,,,,0.438323,0.4404413,,,,,,,,,,
1,0.5330267,,,,0.5330267,0.5071961,,,,,,,,,,
1,0.3405946,,,,0.3405946,0.4646688,,,,,,,,,,
1,0.3819584,,,,0.3819584,0.4893982,,,,,,,,,,
1,0.443883,,,,0.443883,0.4683254,,,,,,,,,,
1,0.6674304,,,,0.6674304,0.4923182,,,,,,,,,,
1,0.3015434,,,,0.3015434,0.442372,,,,,,,,,,
1,0.5132327,,,,0.5132327,0.382579,,,,,,,,,,
1,0.4272487,,,,0.4272487,0.4403677,,,,,,,,,,
1,0.4760643,,,,0.4760643,0.5059709,,,,,,,,,,
1,0.3224092,,,,0.3224092,0.5046275,,,,,,,,,,
1,0.6443078,,,,0.6443078,0.4287352,,,,,,,,,,
1,0.4544491,,,,0.4544491,0.4263582,,,,,,,,,,
1,0.4320663,,,,0.4320663,0.3679539,,,,,,,,,,
1,0.2900485,,,,0.2900485,0.3962928,,,,,,,,,,
1,0.5054398,,,,0.5054398,0.8596024,,,,,,,,,,
1,0.5148142,,,,0.5148142,0.469753,,,,,,,,,,
1,0.4821409,,,,0.4821409,0.5462406,,,,,,,,,,
1,0.3701709,,,,0.3701709,0.5918385,,,,,,,,,,
1,0.3865405,,,,0.3865405,0.5273592,,,,,,,,,,
1,0.4369962,,,,0.4369962,1.1517911,,,,,,,,,,
1,0.801139,,,,0.801139,0.4223569,,,,,,,,,,
1,0.7335863,,,,0.7335863,0.4684554,,,,,,,,,,
1,0.3397139,,,,0.3397139,0.4873283,,,,,,,,,,
1,0.3210505,,,,0.3210505,0.4320709,,,,,,,,,,
1,0.4182628,,,,0.4182628,0.5447391,,,,,,,,,,
1,0.644376,,,,0.644376,0.4148436,,,,,,,,,,
1,0.3241225,,,,0.3241225,0.415625,,,,,,,,,,
1,0.7550272,,,,0.7550272,0.37872,,,,,,,,,,
1,0.5056275,,,,0.5056275,0.3609016,,,,,,,,,,
1,0.7319337,,,,0.7319337,0.4199718,,,,,,,,,,
1,0.4091665,,,,0.4091665,0.5726007,,,,,,,,,,
1,0.4430964,,,,0.4430964,1.0773136,,,,,,,,,,
1,0.3521556,,,,0.3521556,0.6034165,,,,,,,,,,
1,0.2872966,,,,0.2872966,0.5520142,,,,,,,,,,
